CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Chorus Of Ruin	UK	Last Dance” CD			
Christ Agony	POL	Epitaph Of Christ” Demo 92			
Christ Agony	POL	Unholy Union” Promo			
Church Of Misery	USA	Sorrows Of The Moon” Demo 92			
Circle Of Dead Children	USA	Human Harvest” LP			
Cirith Ungol	USA	"King Of The Dead" LP			
Concrete Sleep	SWE	As I Fly Away” Demo 92			
Conscious Rot	LIT	Demo 93			
Convulsion	NZ	A Pickled Feast” Demo 93			
Corrosion Of Conformity	USA	 Live San Diego 85			
Cold Steel	UK	Dead By Dawn” Demo			
Condemned Attitude	USA	 Live Radio Session 87			
Confessor	USA	Uncontrolled” Demo 89			
Confessor	USA	Collapse” Demo 90			
Confrontation Demo 	SWE				
Confuse	JAP	Contempt For The Lie” 7”			
Confuse	JAP	 comp LP			
Confuse	JAP	Old God Meet New God” LP			
Conquerer	CAN	Attack Blood Annihilate" Demo 98			
Contagion	USA	Seclusion” Demo 92			
Convent	POL	Displeasure” Demo 92			
Convulse	FIN	Resuscitation Of Evilness” Demo			
Convulse Promo Demo 92	FIN				
Convulse	FIN	A World Without God” LP			
Coroner	SWI	Death Cult” Demo 86			
Coroner	SWI	RIP” LP			
Coroner	SWI	Punishment For Decadence” LP			
Coroner	SWI	No More Color” LP			
Coroner	SWI	Mental Vortex” LP			
Coroner	SWI	Grin” LP			
Corpse	UK	Core Of Destruction” Demo			
Corpse Molestation	OZ	Descension Of A Darker Deity” Demo 92			
Corrupt	SWE	"Silence = Death" Demo trax			
Count Raven	SWE	High On Infinity” CD			
Countess	HOL	Gospel Of The Horned One” LP			
Covenance	USA	"Ravaging The Pristine" 7"			
Cradle Of Filth	UK	Total Fucking Darkness” Demo			
Cradle Of Filth	UK	Invoking The Unclean” Demo 92			
Cradle Of Filth	UK	Orgiastic Pleasures Foul” Demo 92			
Cradle Of Filth	UK	Principle Of Evil Made Flesh” LP			
Creepmime	HOL	Shadows” LP			
Cremains	CAN	Back From The Grave” Demo 87			
Crionic	SWE	The Land Which Once Were” Demo 87			
Cripple Bastards	ITA	 Live/Demo			
Cripple Bastards	ITA	Uno Sensico…” LP			
Cripple Bastards	ITA	Desperately Insensitive” LP			
Cripple Bastards/Eyehategod	ITA	 split 7”			
Cro-Mags Demo 	USA				
Cro-Mags	USA	Best Wishes” LP			
The Cross	BRA	The Fall” Demo 93			
Crossfade	USA	Ruined” Demo 92			
Crossfade	USA	Free Death” Demo			
Crow 	JAP	Demo 87			
Crowbar 	USA	 CD			
Crowbar	USA	Live Plus One” MCD			
Cruachan	IRE	Celtica” Demo 94			
Crucial Unit	USA	These Colors Get The Runs” LP			
Crucified Mortals	USA	"Converted By Decapitation" MCD			
Crucified Mortals	USA	"Kill Upon Command" 7"			
Crucifier	USA	Crown Of Thorns” Demo			
Crucifier	USA	Pictures Of Heaven” Adv LP			
Crucifier	USA	Pray For The Dead” 7”			
Crucifier	USA	By Disgrace Of God” 7”			
Crumbsuckers	USA	 Live CBGBs 27.04.86			
Crumbsuckers	USA	Life Of Dreams” LP			
Crumbsuckers	USA	Beast On My Back” LP			
Crusher	FRA	Corporal Punishment” LP			
Crusher	FRA	Act II Undermine LP			
Crypt Of Kerberos Adv EP 92	SWE				
Crypt Of Kerberos Adv LP trax 93	SWE				
Crypt Of Kerberos	SWE	World Of Myths” LP			
Cryptic Slaughter	USA	Demo '85			
Cryptic Slaughter	USA	Convicted” LP			
Cryptic Slaughter	USA	Money Talks” LP			
Cryptic Slaughter	USA	Stream Of Consciousness” LP			
Cryptic Slaughter	USA	Speak Your Peace” LP			
Cryptic Slaughter	USA	"Band In SM" 7"			
Cryptic Slaughter	USA	Live Radio City Anaheim CA 30.07.85			
Cryptic Tales	POL	Anathema” Demo 93			
Cryptkeeper	CAN	Demo 93			
Cryptopsy	CAN	Blasphemy Made Flesh” LP			
Cyclone	BEL	In The Grip Of Evil” Demo 85			
Cyness	GER	Looney Planet” CD			
Cynic	USA	 Demo 90			
Cynic	USA	Focus” LP			
Daemonium	?	Dark Opera Of The Ancient War Spirit” CD			
Damad	USA	Burning Cold CD			
Damien Thorne	USA	Demo 85			
Damnation	CAN	Aggressive Repulsive Symphony” Demo 			
Dark	CZE	Evil Blood” Demo 91			
Dark Angel	USA	"Hells On Its Knees" Demo 84			
Dark Angel	USA	We Have Arrived” LP			
Dark Angel	USA	Darkness Descends” LP			
Dark Angel	USA	Leave Scars” LP			
Dark Angel	USA	Live Scars” MLP			
Dark Angel	USA	Time Does Not Heal” 2LP			
Dark Angel	USA	Reh track 26.06.85 "Hunger Of The Undead"			
Dark Angel	USA	Demo 93			
Dark Angel	USA	Live LA '86			
Dark Funeral	NOR	Teach Children To Worship Satan” 10”			
Dark Heresy	UK	Speared & Twisted” Demo 			
Dark Legion 	USA	Demo 86			
Dark Opera	POL	Calling The Legend” Demo 94			
Dark Throne	NOR	A Blaze In The Northern Sky” LP			
Dark Throne		Under A Funeral Moon” LP			
Dark Throne	NOR	Transylvanian Hunger” LP			
Dark Throne	NOR	Hate Them” LP			
Dark Throne	NOR	Phantasm” Reh track			
Dark Throne	NOR	"So Old So Cold" 12"			
Dark Tranquility	SWE	 Skydancer” LP			
Dark White	FRA	Soft & Relentless” Demo 			
Darkified	SWE	Sleep Forever” 7”			
Darklands	SWE	Chronicles” MCD			
Darkness	GER	"Spawn Of The Dark One" Demo '86			
Darkness	GER	"Death Squad" LP			
D.B.C	USA	Dead Brain Cells” LP			
DDT	POL	Fiends Of Brutality” Demo			
Dead & Bloated	USA	Maintenance” Demo 91			
Dead Christ	UK	Lex Talonis” Demo 92			
Dead Christ	UK	Satans Hunger” 7”			
Dead Conspiracy 	CAN	Demo 87			
Dead Head	HOL	The Festering” Demo 			
Dead Head	HOL	Dream Deceiver” LP			
Dead Infection	POL	World Full Of  Remains” Demo			
Dead Infection	POL	Start Human Slaughter” Demo			
Dead Infection	POL	Surgical Disembowelment” LP			
Dead Serious	BEL	Beware Of Ducks” Demo 88			
Dearly Beheaded	UK	We The Unwilling” Demo			
Death	USA	Rigor Mortis” Demo (1 track)			
Death	USA	Infernal Death” Demo			
Death	USA	Mutilation” Demo 			
Death	USA	Scream Bloody Gore” LP			
Death	USA	Leprosy” LP			
Death	USA	Spiritual Healing” LP			
Death	USA	Human” LP			
Death	USA	"Seizure" Reh track 04/85			
Death Agony Demo #1	UK				
Death Angel	USA	Kill As One” Demo 86			
Death Angel	USA	 Live El Mocomba Toronto 15.08.87			
Death Angel	USA	The Ultraviolence” LP			
Death Angel	USA	Frolic Through The Park” LP			
Death Angel	USA	Act III” LP			
Death Thrashers Kuopio	FIN	"Necromancy, Blood, Vengeance" Demo			
Death Thrashers Kuopio	FIN	"Zombies Apocalypse And Other Nice Things" Demo			
