CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Merciless	FRA	Vomiting Nausea” LP			
Mercyful Fate	DEN	Live 1984			
Meshuggah	SWE	None” MCD			
Messiah	SWI	Extreme Cold Weather” Demo			
Metal Church 	USA	 LP			
Metal Church	USA	Blessing In Disguise” LP			
Metal Church	USA	 Live Hammersmith Odeon 15.02.87			
Metal Duck	UK	Quackcore” Demo			
Metallica	USA	Metal Up Your Ass" LP (No Life Till Leather” Demo)			
Metallica	USA	British Assault	 Live London 20.12.84” LP		
Metallica	USA	 Live Stockholm Ride The Lightning Tour ‘84			
Metallica	USA	 Live Chicago 83			
Metallica	USA	 Live Montreal 15.01.85			
Metallica	USA	 Live Hammersmith Odeon 21.09.86			
Metallica	USA	 Live NYC 11/86			
Metallica	USA	 Live 100 Club London 20.08.87			
Metallica	USA	Kill Em All LP			
Metallica	USA	Ride The Lightning LP			
Metallica	USA	Master Of Puppets LP			
Metallica	USA	And Justice For All 2LP			
Metallica	USA	Harvester Of Sorrow 12"			
Metallica	USA	One 12"			
Metallica	USA	Garage Days Re-Visited MLP			
Metalucifer	JAP	"Heavy Metal Chainsaw" Cass LP			
Mexican Power Authority	CAN	Haiku…Gesundheit” LP			
Mindrot	USA	Faded Dream” Demo			
Minotaur	GER	Oath Of Blood Demo			
Minotaur	GER	Power Of Darkness” Demo			
Misery	AUS	Aeturnus Diabolus” Demo 93			
Misery	AUS	A Necessary Evil” LP			
Misfits	USA	Walk Among Us” LP			
Misfits	USA	Earth AD” LP			
Misfits	USA	Legacy Of Brutality” LP			
Mission Of Christ	USA	Life In Grave” Demo 87			
Mission Of Christ/Fratricide	USA	 split 7”			
Mock	NOR	Cold Winter” Demo 93			
M.O.D	USA	 Live L’Amours NY 07.03.87			
M.O.D	USA	USA for MOD” LP			
M.O.D	USA	Surfin’ MOD” MLP			
Monstosity	USA	Horror Infinity” Demo 90			
Moonspell	POR	Under The Moonspell” MCD			
Morbid Angel	USA	Abominations..” Unrel. LP trax rough mix			
Morbid Angel	USA	Thy Kingdom Come” Demo			
Morbid Angel 	USA	Reh. Demo 30.01.87			
Morbid Angel	USA	Abominations Of Desolation” LP			
Morbid Angel	USA	Altars Of Madness” LP			
Morbid Angel	USA	Blessed Are The Sick” CD			
Morbid Angel	USA	Covenant” LP			
Morbid Angel	USA	Heretic” LP			
Morbid Saint	USA	"Destruction System" Demo			
Mordicus Demo 92	FIN				
Mordor	POL	Nothing” Demo 92			
Mordred 	USA	Demo 87			
Mordred	USA	Fools Game” LP			
Mordred	USA	In This Life” CD			
Morgion	CAN	Rabid Decay” Demo 91			
Morgoth	GER	Odium” LP			
Morgue	USA	Severe Pathology” Demo			
Moriturus	POL	Sorrows” Demo 93			
Morningstar	FIN	Inside The Circle Of The Pentagram” Demo 93			
Morpheus Promo Demo	USA				
Morphosis	IRE	Modus Operandi” Demo 93			
Morstice	UK	As My Suffering Grows” Demo 93			
Morstice	UK	Reflections Remain” Demo #2			
Morta Skuld	USA	Prolong The Agony” Demo			
Morta Skuld Promo Demo 93	USA				
Morta Skuld/Vital Remains	USA	 split 7”			
Morta Skuld	USA	As Humanity Fades” LP			
Mortal Sin	AUS	Mayhemic Destruction” LP			
Mortem	PER	Vomit Of The Earth” Demo 93			
Mortician	USA	Brutally Mutilated” 7”			
Mortician	USA	Mortal Massacre” 7”			
Mortician	USA	Darkest Day Of Horror” CD			
Mortiis	NOR	Song Of A Long Forgotten Ghost” Demo 93			
Mortophobia	CAN	"Ignomy Below" Demo Demo '91			
Mortuary Drape	ITA	Doom Return” Demo 89			
Mortuary Drape	ITA	Into The Drape”MLP			
Mortuary IOD	HOL	Promo 2001			
Mourn	UK	For Evermore” Demo 			
Muga 	JAP	 LP			
Mule Skinner	USA	Stripped Of Flesh” Demo			
Mule Skinner Demo 93	USA				
Mule Skinner Adv 7”	USA				
Municipal Waste 	USA	 7” (Busted Heads Recs)			
Municipal Waste	USA	Waste ‘Em All” LP			
Municipal Waste	USA	Hazardous Mutation” LP			
Murphy Boys	AUS	"Nightclubber" Unreleased EP 2004			
Mutilated	FRA	Psycho Death Lunatics” Demo			
Mutilated	FRA	"Demos" LP			
Mutilation	MYA	Massacre On Bodies” Demo 91			
Mutilator	BRA	Demo 87			
Mutilator	BRA	Warfare Noises” LP comp trax			
Mutilator	BRA	"Immortal Force" LP			
My Dying Bride	UK	Towards The Sinister” Demo			
My Dying Bride	UK	Symphonaire Infernus..” EP			
My Dying Bride	UK	Turn Loose The Swans” LP			
Mystik Krewe Of Clearlight 	USA	 LP			
Mystifier	BRA	Goetia” LP			
Mystifier	BRA	Wicca” CD			
Mysto Dysto	HOL	No AIDS In Hell” Demo 			
Mythic	USA	Immortal Realm” Demo			
Mythos	?	Moulded In Clay” Demo			
Nailgunner/Wounds	FIN	"Thermonuclear Thrash Metal Warfare" split CD			
Napalm Death	UK	Scum” LP			
Napalm Death	UK	From Enslavement To Obliteration” LP			
Napalm Death	UK	Mentally Murdered” 12”			
Napalm Death	UK	Mass Appeal Madness” 12”			
Napalm Death	UK	Harmony Corruption” LP			
Napalm Death	UK	Fear Emptiness Despair” LP			
Napalm Death	UK	Greed Killing” MCD			
Napalm Death	UK	Enemy Of The Music Business” CD			
Napalm Death	UK	Order Of The Leech” LP			
Napalm Death	UK	Leaders Not Followers Part 2” LP			
Napalm Death	UK	The Code Is Red Long Live The Code” LP			
Napalm Death	UK	"Smear Campaign" LP			
Napalm Death	UK	Peel Sessions” CD			
Napalm Death	UK	 Live Hammersmith Clarendon 02.10.87			
Napalm Death	UK	"Hatred Surge" Demo '86			
Narcosis	UK	Heart Slows Down” LP			
Narcosis/Swarrrm	UK	 split 7”			
Nasty Savage	USA	Abstract Reality” LP			
Nasty Savage	USA	Penetration Point” MLP			
Nasum	SWE	Human 2.0” CD			
Nasum	SWE	Helvete” LP			
Natas	USA	Outcast Of Society” Demo			
Nausea	USA	Tumor” Demo 92			
Nausea	USA	Crimes Against Humanity” LP			
Nausea	USA	Psychological Conflict” 7”			
Nausea	USA	Live Crime…” Official Live tape			
Nebiras	MYA	As The Sky Turns Black” MLP			
Necrobiosis	?	Pile OF Decayed Entrails” Demo 93			
Necro-E	JAP	Assemblage Of Emaciated Embryo” Demo			
Necrolust	POL	xII Faces Of Evil” Demo			
Necronomicon Beast	BRA	"Hell Thrash War" LP			
Necrony	SWE	Pathalogical Performances” LP			
Necrophagia	USA	It Began With A Twisted Dream” Demo			
Necrophil	POL	Cannibal Sex” Demo 92			
Necrophiliac	SPA	Chaopula: Citadel Of Mirrors” LP			
Necrophobic	SWE	Unholy Prophesies” Demo			
Necrophobic	SWE	The Nocturnal Silence” LP			
Necropsy Demo 91	FIN				
Necrovore Demo	USA				
Nefarious	CAN	Necrorgasmic Convulsions” Demo 93			
Nefarious	CAN	Involuntary Episodes Of Aggression” Demo			
Nembrionic Hammerdeath	HOL	Thyemes On An Occult Theory” 7”			
Nemesis	SWE	"The Day Of Retribution" MLP			
Neolithic	POL	Personal Fragment Of Life” Demo 93			
Neptune Towers	NOR	Caravans To Empire Algol” CD (ambient/mood)			
Nergal/Bundeswehra	SWI	 split LP			
Nightfall	UK	Mind Buthcher” Demo			
Nightfall	GRE	Parade Of Centuries” CD			
Nightmare	JAP	Give Notice Of The Nightmare” EP			
Nihilist 	SWE	Demo 88			
Nihilist	SWE	Drowned” Demo 89			
Nile	USA	In Their Darkened Shrines” 2LP			
NK 6	JAP	Keep On Keeping On” 12”			
NK6/Dudman	JAP	split 7"			
NME	USA	Unholy Death” LP			
Nocturnal/Toxic Holocaust	GER	Thrashbeast From Hell split tape			
Nocturnal	GER	Arrival Of The Carnivore” LP + 7”			
Nordor	GRE	His Ficticious Grandeur” EP 93			
Nuclear Assault	USA	L.S.D” Demo			
Nuclear Assault	USA	 Live London 20.06.87			
Nuclear Assault	USA	Game Over” LP			
Nuclear Assault	USA	The Plague” MLP			
Nuclear Assault	USA	Survive” LP			
Nuclear Assault	USA	Handle With Care” LP			
Nuclear Assault	USA	Good Times Bad Times” 12”			
Nuclear Death	USA	For Our Dead” 7”			
Nunfuckers Demo	CAN				
Nunslaughter	USA	The Supreme Beast” 7”			
Nunslaughter/Soulless	USA	 split 7”			
Nunslaughter	USA	Christmassacre” 12”			
Nunslaughter	USA	Goat” LP			
Nunslaughter/Haemmorhage		Split EP			
Nunslaughter/Throneum	US/POL	Split EP			
NYC Mayhem Demo	USA				
Obituary	USA	Slowly We Rot” LP			
Obituary	USA	Cause Of Death” LP			
Obituary	USA	The End Complete” LP			
Obituary	USA	Frozen In Time CD			
Obliteration	UK	Exorcism Of Life” Demo #1			
Obliteration	UK	Internal Corrosion” Demo #2			
Obliveon	CAN	Fiction Of Veracity” Demo 90			
Obliveon	CAN	From This Day Forward” LP			
Obliveon	CAN	Nemesis” LP			
Oblivion 	USA	Demo 84			
The Obsessed 	USA	 LP			
The Obsessed	USA	Lunar Womb” LP			
The Obsessed	USA	The Church Within” LP			
Occult Demo 93	HOL				
OLD 	USA	Reh/Demo 9/87			
OLD	USA	Old Lady Drivers” LP			
Old Pagan	GER	Tecknotschticklan” MLP			
Onslaught	UK	Power From Hell” LP			
Onslaught	UK	The Force” LP			
Onslaught	UK	In Search Of Sanity” LP			
Onslaught	UK	Live ?? '85			
Opera XI  Demo #2	ITA				
Opeth	SWE	Ghost Reveries” CD			
Oppression	SWE	"Left To Perish" Demo 2004 (KILLER!!)			
Oppression	SWE	"T.P.A.S" Demo 2005			
Oppression	SWE	"State Of War" Demo 2006  (GODS!!!)			
Oppressor	USA	World Abomination” Demo 91			
Oppressor	USA	As Blood Flows” Demo 93			
Oppressor	USA	Solstice Of Oppression” LP			
Opthalamia	SWE	A Journey In Darkness” LP			
Optimum Wound Profile	UK	Silver & Lead” LP			
Order From Chaos	USA	Stillbirth Machine” LP			
Organic Infest	P.RIC	Drown In Blood” Demo			
Organized Kaos	CAN	Kaotic Demo” Demo 87			
Organized Kaos	CAN	Reconditioned” Demo 88			
Our Haunted Kingdom	UK	The Eternal Dream” Demo 94			
Outo	JAP	 Comp LP (7” & comp trax)			
Overkill	USA	Power In Black” Demo			
Overkill	USA	Taking Over” LP			
Overkill	USA	Under The Influence” LP			
Overkill	USA	Fuck You!” 12”			
Overkill	USA	The Years Of Decay” LP			
Overkill	USA	Horrorscope” CD			
Overkill	USA	"Relix IV" LP			
Pagan War Machine	USA	Demo			
Pandemonium	POL	Deviliri” Demo			
Pandemonium	POL	The Ancient Katatonia” LP			
Pan-Thy-Monium	SWE	Dream 2” 7”			
Pan-Thy-Monium	SWE	Khaoos” Adv CD			
Papsmear	USA	Demo '86			
Papsmear	USA	"Lunch For The PMRC" Demo '87			
Paradigma	NOR	The New Paradigma” Demo			
Paradise Lost	UK	Frozen Illusions” Demo			
Paradise Lost 	UK	 LP			
Paradise Lost	UK	Gothic” CD			
Paradise Lost	UK	Icon” CD			
Paralysis	USA	Patrons Of The Dark” LP			
Penance	USA	Living Truth” Demo 90			
Penance	USA	Pareallel Corners” LP			
Pendemia	UK	Widespread Epidemic” Demo 88			
Pentagram	USA	First Daze Here” 2LP			
Perdition Hearse	FIN	Mala Fide” EP			
Pessimyst	USA	Self Consumption” Demo 93			
Pestilence	HOL	The Penance” Demo			
Pestilence	HOL	Mellus Maleficarum” LP			
Pestilence	HOL	Consuming Impulse” LP			
Pestilence	HOL	Testimony Of The Ancients” CD			
Pestilence	HOL	Spheres” CD			
Phantasm 	USA	Demo 87			
Phantasm	USA	"Wreckage" LP (demo + live)			
Phantasm	USA	The Abominable” Demo 92			
Phlebotomized	HOL	In Search Of Tranquility” 7”			
Phlebotomized	HOL	Preach Eternal Gospels” MLP			
Phlegm Demo	USA				
Phlegm	USA	Masterpiece Of Mutilation” 7”			
Phobia	USA	All That Remains” 7”			
Phobia	USA	Means Of Existance” CD			
Phobia	USA	Destroying The Masses” 10”			
Phobia	USA	Serenity Through Pain” LP			
Phobia/Resist And Exist	USA	 split LP			
Phobia	USA	Grind Your Fucking Head In” LP			
Phobia	USA	Get Up And Kill” LP			
Phobia	USA	"Cruel" LP			
Phobia/Skrupel	US/GER	Split MCD			
Phobophilia Demo 94	UK				
Pig Destroyer	USA	Terrifyer” 2LP			
Piledriver	CAN	Metal Inquisition” LP			
Piledriver	CAN	"Stay Ugly" LP			
Pink Turds In Space	IRE	Demo 87			
Pitiful Reign	UK	"Toxic Choke" Demo 2006			
Placenta	SWI	What’s The News?” 7”			
Plaid Retina 7”	USA				
Plutocracy	USA	Sniping Pigs” LP			
Poison  	GER	Into The Abyss Demo 86			
Possessed	USA	Death Metal” Demo			
Possessed 	USA	 Live San Francisco ‘85			
Possessed	USA	 Demo 91			
Possessed	USA	Seven Churches” LP			
Possessed	USA	Beyond The Gates” LP			
Possessed	USA	The Eyes Of Horror” MLP			
Possessed	USA	Demo '93			
Possessed	USA	Live SF '84 (4 trax)			
Primal Scream	USA	Demo 87			
Prime Evil 	USA	Demo #1			
Prime Evil	USA	The Manifestation” Demo			
Primordial	IRE	Dark Romanticism…Sorrows Bitter Harvest” Demo 93			
Probot 		 2LP			
Proclamation/Teitanblood	SPA	Split EP			
Profanatica	USA	Broken Throne Of Christ” Demo			
Profanatica	USA	Weeping In Heaven” 7”			
Profanatica	USA	Tormenting Holy Flesh” Split LP trax			
Prong	USA	Primitive Origins” MLP			
Prong	USA	Force Fed” LP			
Prong	USA	Beg To Differ” LP			
Prong	USA	Cleansing” LP			
Prong	USA	Third From The Sun” 12”			
Protector 	GER	Demo 86			
Protector  	GER	Golem LP			
Protector	GER	"Urm The Mad" LP			
Protector	GER	"A Shedding Of Skin" LP			
Protector	GER	"Leviathans Desire" 12"			
Psychosis	USA	Face” Demo			
Psychosis	USA	Squirm” CD			
Purgatorium	SWE	Travels” Demo 93			
Pungent Stench 	AUT	Reh/Demo 88			
Pungent Stench	AUT	For God Your Soul, For Me Your Flesh” Remix LP			
Pungent Stench	AUT	Dirty Rhymes & Psychotronic Beats” MLP			
Pungent Stench	AUT	Club Mondo Bizarre	 For Members Only” CD		
Purtenance	FIN	Member Of Immortal Damnation” LP			
Purulence	CAN	Atrocious Excretion” Demo			
Purulence	CAN	In Harmony With The Deceased” Demo 93			
Purulence	CAN	Inverted Decay” 7”			
Putrid Decay	USA	Feeding Off The Dead” Demo			
Putrid Offal	USA	Unformed” Demo 92			
Putrid Offal/Exulceration	USA	 split LP			
Pyogenesis	GER	Rise Of The Unholy” 7”			
Pyogenesis	GER	Sweet X-Rated Nothings” LP			
Pyoveli	FIN	"The New Renaissance Of Speed & Thrash Metal" Cass LP			
Pyrexia	USA	Sermons Of Mockery” CD			
Rage	GER	Secrets In A Weird World” LP			
Raise Cain 7”	JAP				
Random Violence	AUS	"Chamber Of Horror" CD single			
Ras Algethi	ITA	Oblita Divinitas” Demo 93			
Rator	MYA	Adv Trax '89			
Ratos De Porao	BRA	Descanse Em Paz” LP			
Ratos De Porao	BRA	Sistemados Pelo Crucifa” LP			
Ratos De Porao	BRA	Brasil” LP			
Ratos De Porao	BRA	"Anarkophobia" LP			
Ratos De Porao	BRA	Carniceria Tropical” CD			
Ratos De Porao	BRA	Guerra Civil Cannibale” 10”			
Ratos De Porao	BRA	Onisciente Coletivo” LP			
Raven	UK	Rock Till You Drop” LP			
Raven	UK	Wiped Out” LP			
Raven	UK	Crash Bang Wallop” MLP			
Raven	UK	"All For One" LP			
Raw Power	ITA	Screams From The Gutter” LP			
Raw Power	ITA	Still Screaming After 20 Years” LP			
Razor	CAN	City Of Damnation” Demo			
Razor	CAN	Armed & Dangerous MLP			
Razor	CAN	Executioners Song” LP			
Razor	CAN	Evil Invaders” LP			
Razor	CAN 	"Malicious Intent" LP			
Razor	CAN	"Custom Killing" LP			
Razor	CAN	Violent Restitution” LP			
Razor	CAN	Open Hostility” LP			
Razor	CAN	Live - Canada 03.08.85			
Realm	USA	Endless War” LP			
Realm	USA	Suiciety” LP			
Re-Animator	UK	Deny Reality” MLP			
Regurgitate	SWE	Hatefilled Vengeance” LP			
Regurgitate	SWE	Deviant” CD			
Regurgitation	USA	Bathrooms Rule” Demo 87			
Regurgitation	USA	"Organic Backwash" Demo #2 88			
The Reign	UK	Act Of Penance” Demo			
The Reign	UK	This Silent Nation” Demo 92			
Renaissance	HOL	Archways” Demo 92			
Renaissance	HOL	The Death Of Art” CD			
Repulsion 	USA	Unreleased LP rough mix			
Repulsion	USA	Horrified” LP			
Repulsion	USA	"Excruciation" 7"			
Resistance	USA	Veil Of Mystery” Demo 88			
Resurrection Demo 91	USA				
Retaliation	SWE	Violence Spreads It’s Drape” LP			
Revenant Host	UK	Bio-Weaponry” Demo 93			
Rhetoric 7”	UK				
Righteous Pigs	USA	Our Demo” 87			
Righteous Pigs	USA	 Demo #2 89			
Rigor Mortis	USA	s/t LP			
Rigor Mortis	USA	"Decomposed" Demo '87 (pre IMMOLATION)			
Ripcord Demo	UK				
Ripcord	UK	Discography Part 1” LP			
Ripped	USA	Easter Island” Adv 7”			
Ripping Corpse Demo 92	USA				
Ripping Corpse	USA	Dreaming With The Dead” LP			
Ritual Sacrifice	USA	Demo '89			
Root	CZE	Temple In The Underworld” CD			
Root - untitled 7” 91	CZE				
Root	CZE	Zjeveni” LP			
Root	CZE	Kargeras” CD			
Rose Rose	JAP	Skatethrash 88” 7”			
Rose Rose	JAP	Brutalize” LP			
Rose Rose	JAP	Deaden The Nerve Part 2” 7”			
Rot	BRA	A Long Cold Stare” LP			
Rotting Christ	GRE	Passage To Arcturo” MLP			
Rotting Christ/Monumentum	GRE	 split 7”			
Rotting Christ	GRE	Dawn Of The Iconoclast” 7”			
Rotting Christ	GRE	Rotting Christ” 7”			
Rotting Christ	GRE	Non-Servium” LP			
Rottrevore	USA	Copulation Of The Virtuous And The Vicious” 7”			
Rottrevore	USA	Iniquitous” LP			
Sabbat	UK	 Radio Session 87			
Sabbat	UK	Blood For The Bloodgod” Flexi track			
Sabbat	UK	History Of A Time To Come” LP			
Sabbat	UK	Dreamweaver” LP			
Sabbat	UK	Mourning Has Broken” LP			
Sabbat	JAP	Disembodied” LP			
Sacrament Demo 95	UK				
Sacred Reich	USA	Ignorance” LP			
Sacred Reich	USA	Surf Nicaragura” 12”			
Sacred Reich	USA	The American Way” CD			
Sacretomia	SWE	Altar Of Sin” Demo			
Sacrifice	CAN	"The Exorcism" Demo '85			
Sacrifice	CAN	"Forward To Termination" Promo Demo			
Sacrifice	CAN	Promo Demo '89			
Sacrifice	CAN	"Torment In Fire" LP			
Sacrifice	CAN	Forward To Termination” LP			
Sacrifice	CAN	Apocalypse Inside” CD			
Sacrificial	DEN	Lords Of Torment” Demo			
Sacrilege	UK	Demo#1 '84			
Sacrilege	UK	Demo #2 '85			
Sacrilege	UK	Demo #3 '86			
Sacrilege	UK	 Live Leeds 05.03.85			
Sacrilege BC 	USA	Demo 86			
Sacrilege BC	USA	Party With God” LP			
Sacrilege BC	USA	Too Cool To Pray” LP			
Sacrosanct	HOL	The Die Is Cast” Demo 89			
Sad Whisperings	SWE	Sensetive To Autumn” LP			
Sadist  	ITA	Black Screams 7" 91			
Sadistik Exekution	AUS	Fukk” LP			
Sadus	USA	Death To Posers” Demo 			
Sadus	USA	"Illusions" LP			
Sadus	USA	Swallowed In Black” LP			
Sadus	USA	A Vision Of Misery” LP			
Sadus	USA	"Red" Demo 94			
Sadus	USA	"Elements Of Anger" CD			
Sadus	USA	"Out For Blood" CD			
Saint Vitus	USA	Live” LP			
Saint Vitus	USA	Thirsty & Miserable” 12”			
Saint Vitus	USA	The Walking Dead” EP			
Saint Vitus	USA	V” LP			
Saint Vitus	USA	Hallows Victim” LP			
Saint Vitus	USA	Born To Lose” LP			
Saint Vitus	USA	Mournful Cries” LP			
Saint Vitus	USA	C.O.D” CD			
Saint Vitus	USA	Die Healing” CD			
Samael	SWI	Blood Ritual” LP			
Samael	SWI	Ceremony Of Opposites” LP			
Samael	SWI	Rebellion” MCD			
Sanctus	USA	Accept The Blessing” Demo			
Sarcofago	BRA	"Satanic Lust" Demo			
Sarcofago	BRA	"INRI" LP			
Sarcophagus 	USA	Demo 93			
Satan 	UK	"Court In The Act" LP			
Satanic Hellslaughter 	JAP	Demo 89			
Satyricon	NOR	The Shadowthrone” CD			
Satyricon	NOR	Dark Medieval Times” CD			
Sauron	USA	"Prepare To Die" Demo 2004			
Sauron	USA	"Thrash Assault" CD			
Sauron	POL	"Kraina Martwego Stonca" CD			
Sauron	POL	"The Baltic Fog" Demo			
Sayyadina	SWE	Fear Gave Us Wings” CD			
Scanner	GER	Hypertrace” LP			
Schizoid Demo 	JAP				
Scriptures 	JAP	Demo 93			
Sea Of Tranquility	USA	Demo 94			
Sea Monkeys 	USA	Demo 85			
Séance	SWE	Salt Rubbed Eyes” LP			
Seers Tear	UK	Chronicles Of A Destiny” Demo 94			
Send More Paramedics	UK	A Feast For The Fallen” LP			
Senseless	MYA	Profanation Horror” Demo 92			
Sentenced	FIN	North From Here” LP			
Sentenced	FIN	The Trooper” MCD			
Sentenced	FIN	Amok” CD			
Sephiroth	GRE	Thy Auspice” Demo 93			
September	SWE	Time Of Darkness” Demo 92			
Septic Death	USA	Now I Have The Attention What Do I Do With It?” LP			
Septic Death	USA	Kichigai” 7”			
Septic Flesh Demo 93	GRE				
Septic Flesh	GRE	Mystic Places Of Dawn” CD			
Sepultura	BRA	Bestial Devastation split LP trax '85			
Sepultura 	BRA	Demo 86 			
Sepultura	BRA	Morbid Visions” LP			
Sepultura	BRA	Schizophrenia” LP			
Sepultura	BRA	Beneath The Remains” LP			
Sepultura	BRA	Arise” CD			
Sexorcist 	HOL	 MCD			
Sextrash	BRA	"XXX" EP			
Shadow Law	POL	Ante Christum Natum LP			
Shellshock 	USA	"Into The Inferno" Demo '83 (pre DARK ANGEL)			
Shit Scum	USA	Manson Is Jesus” 7”			
Shub-Niggurath	MEX	Evil & Darkness Prevails” MLP			
Shub-Niggurath	MEX	Blasphemies Of The Netherworld” 7”			
Sick	UK	Die” Demo			
Sick Of It All 7”	USA				
Sickening Gore	SWI	Destructive Reality” LP			
Siege	USA	Drop Dead” Demo			
Sigh	JAP	Requiem For Fools” 7”			
Sil-Khannas	MYA	Assassin Led By Blasphemy” Demo 92			
Sil-Khannas	MYA	Conception Of Madness” LP			
Sin Eater	USA	Ashes Of An Autumn Burning” 7”			
Sindrome	USA	Into The Halls Of Extermination” Demo 87			
Sindrome	USA	Vault Of Inner Conscience” Demo #2			
Sinoath	ITA	Still In The Grey Dying” demo Demo 93			
Sinister	HOL	Putrefying Remains” 7”			
Sinister	HOL	Diabolical Summoning” LP			
Skitsystem	SWE	Allt E Skit” LP			
Skitsystem	SWE	Gra Varld/Svarta Tankar” CD			
Skitsystem	SWE	Enkel Resa Till Rannsteinen” LP			
Skizo	USA	Mosh Till Mush” Demo 87			
Skrupel	GER	Gyroscan T5-11” LP			
Skull	COL	"Beer Metal Spikes" Demo 2004			
Skyclad	UK	Prince Of The Poverty Line” CD			
Slammer	UK	The Work Of Idle Hands” LP			
Slammer	UK	"Insanity Addicts" MLP			
Slaughter   	CAN	Strappado LP			
Slaughter	CAN	"Nocturnal Hell" 7"			
Slaughter Lord	AUS	Taste The Blood” Demo 			
Slavator	SWE	"Sacrificial Homicide" Demo 2005			
Slavery	CAN	"Metallic Overkill" Demo 86			
Slavery	CAN	Demo '89			
Slavery	CAN	"Political Violence" Reh track '90			
Slayer	USA	Show No Mercy” LP			
Slayer	USA	Live Undead” MLP			
Slayer	USA	Haunting The Chapel” 12”			
Slayer	USA	Hell Awaits” LP			
Slayer	USA	Reign In Blood” LP			
Slayer	USA	Criminally Insane” 12”			
Slayer	USA	South Of Heaven” LP			
Slayer	USA	Seasons In The Abyss” LP			
Slayer	USA	Divine Intervention” CD			
Slayer	USA	Undisputed Attitude” 2x10” LP			
Slayer	USA	Musica In Diabolus” CD			
Slayer	USA	Witching Hour” Live Track 			
Slayer	USA	God Hates Us All” LP			
Slayer	USA	"Christ Illusion" CD			
Slayer	USA	Black Magic” Demo 83			
Slayer	USA	Live Undead” Studio Session			
Slayer	USA	Inaa-Gaada-Da-Vida” track			
Slayer	USA	 Live The Stone San Francisco ?.?.84			
Slayer	USA	 Live Live at The Dynamo, Eindhoven 28.05.85			
Slayer	USA	 Live Belgium 85 (3 trax)			
Slayer	USA	 Live Birmingham UK 19.04.87			
Slayer	USA	 Live Amsterdam 03.05.87			
Sludge	UK	Prologue” Demo			
SM70 	GER	7”			
SMF	FRA	Vendredi 13” Demo 87			
Snyper	UK	Obituary” Demo 88			
S.O.B	JAP	Thrash Night” 7”			
S.O.B	JAP	Leave Me Alone/Don’t Be Swindle” LP			
S.O.B	JAP	What’s The Truth” LP			
S.O.B	JAP	Gate Of Doom” LP			
Social Disorder	USA	Agony” Demo			
Sodom	GER	In The Sign Of Evil” MLP			
Sodom	GER	Obsessed By Cruelty” LP			
Sodom	GER	Persecution Mania” LP			
Sodom	GER	Agent Orange” LP			
Sodom	GER	Tapping The Vein” LP			
Sodom	GER	The Sins Of Sodom” LP (demos)			
Sodom	GER	S/T CD			
Soilent Green Demo 93	USA				
Soilent Green	USA	Sewn Mouth Secrets” LP + 7”			
Soilent Green	USA	A Deleted Symphony…” CD			
Solemn	UK	Poetstone” Demo			
Solitude Aeturnus	USA	Into The Depths Of Sorrow” CD			
Solstice Demo 93	UK				
Sonick Plague 	USA	Demo 87			
Soothsayer	CAN	"To Be A Real Terrorist" Demo 87			
Soothsayer	CAN	"Have A Good Time" CD			
Sororicide 	ICE	Demo 92			
Sororicide	ICE	Godlike” split CD trax			
Soul Drain	UK	The Innocent Shall Die” Demo 			
Spastic Children	USA	 Live Ruthies Inn S.F 02.07.86			
Spawn Of Satan/Bloodsick	USA	 split LP			
Spazztic Blurr 	USA	Demo 86			
Spazztic Blurr	USA	Before & After” LP			
Spithead	BEL	Indolent Infected Death” Demo 92			
The Spudmonsters Demo	USA				
Stalingrad Demo	UK				
Stalingrad 	UK	 CD			
State Of Shock	UK	Final Betrayal” Demo 89			
Stigmatizer	POL	Genetic Abominations” Demo			
Stillborn	SWE	Permanent Solution” CD			
Stillborn	SWE	State Of Disconnection” LP			
Straight Ahead	USA	End The Warzone” EP trax			
S.O.D	USA	Speak English Or Die” LP			
S.O.D	USA	 Live NYC 06.10.85			
Sublime Cadaveric Decomposition 	FRA	 LP			
Suffer	SWE	Global Warming” MLP			
Suffercation	MYA	Cryptic Existence” LP			
Suffocation	USA	Breeding The Spawn” LP			
Superior	GER	Moral Alliance” Demo 89			
Supuration	FRA	The Cube” LP			
Swarrrm	JAP	Against Again” LP			
Swarrrm/Narcosis	JAP	 split 7”			
Sweaty Nipples	USA	Let’s Get Sweaty” Demo 			
Swirling Madness	SIN	We Are What We Are” EP			
Syranax	USA	Battalions Of Death” Demo			
Systematic Death	JAP	For The Punx And Thrashers” CD (comp)			
Tank 	UK	"This Means War" LP			
Tankard	GER	The Morning After” LP			
Tankard	GER	Alien” MLP			
Teratogenic	UK	Holocaust” Demo			
Terminus	UK	Two Steps From Revolution” CD			
Terrorizer 	USA	Demo 87			
Terrorizer 	USA	Reh 04.87			
Terrorizer	USA	World Downfall” LP			
Terrorizer	USA	"Darker Days Ahead" LP			
Testament	USA	The Legacy” LP			
Testament	USA	The New Order” LP			
Testament	USA	Practise What You Preach” LP			
Testament	USA	Souls OF Black” LP			
Testament	USA	Low” LP			
Testament	USA	"The Gathering" CD			
Testament	USA	 Live Manchester 11.87			
Thanatos	HOL	"Speed Kills" Demo '85			
Theatre Of Tragedy Demo 94	NOR				
Theodicy	UK	Wound” Demo			
Therion	SWE	Of Darkness” LP			
